code;name;picture
D001;DR. SARDJI,SP.PD              ;1. dr. Sardji, Sp.PD.jpg
D002;DR. PANDU HERPRI S, SP.PD     ;2. dr. Pandu Herpri Sasongko, Sp.PD.jpg
D003;DR. SARYANTO, SP.A            ;7. dr. Saryanto, Sp.A.jpg
D004;DR. TANTRI BAGUS SATRIO, SP.B ;6. dr. Tantri Bagus Satrio, Sp.B.jpg
D005;DR. HERI AGUNG YULIANTO, SP.B ;5. dr. Heri Agung, Sp.B.jpg
D006;DR. ALWI RACHMAN, SP.OT       ;11. dr. Alwi Rachman, Sp.OT.jpg
D007;DR. SAVITRI RAHAYU, SP.OG     ;10. dr. Savitri Rahayu, Sp.OG.jpg
D008;DR. HARI KURNIAWAN, SP.OG     ;9. dr. Hari Kurniawan, Sp.OG.jpg
D011;DRG. READILKHA PERWIDANATA    ;19. drg. Readilkha Perwidananta.jpg
D012;DR. RAZI HAEKAL DOEWES        ;12. dr. Razi Haekal Doewes, Sp.THT. K.L.M.Biomed.jpg
D018;DR. GUNTUR WIBOWO, SP. KFR    ;13. dr. Guntur Wibowo, Sp.K.F.R.jpg
D022;DR. JUHAN BAIDOWI             ;
D023;DR. DYAH AYU RETNANINGTYAS    ;
D024;DR. ANANG BUDY SETYA N        ;
D031;DR. YUSNIAR                   ;
D034;DR. AYU NOVITA KARTIKANINGTYAS;
D035;DR. RIFKI GHIFARI AKBAR       ;
D036;DR. YUDANTO S. NUGROHO, SP.N  ;14. dr. Yudanto Suryo Nugroho, Sp.N.jpg
D037;DR. SAINA ABAS                ;
D038;INTAN YULIYANA, DR, SP.M      ;15. dr. Intan Yuliana, Sp.M.jpg
D041;DR. ALAMANCO K., SP.JP. FIHA  ;16. dr. Alamanco Kardinov K., Sp.JP.FIHA.jpg
D042;DR. MUHAMMAT GOZALI S, SP.U   ;17. dr. Mhd Gozali Arif Sembiring, Sp.U.jpg
D047;DRG. IKRIMA MAULIDA           ;20. drg. Ikrima Maulida.jpg
D052;DR. PRIMA KUSUMASTUTI         ;18. dr. Prima Kusumastuti, Sp.KJ.jpg
D053;DR. HERMIFA DWI A., SP.PD     ;3. dr. Hermifa Dwi Aninnaimah, Sp.PD.jpg
D054;DR. FATHENDRA ARIFQI R, SP PD ;4. dr. Fathendra Arifqi Rushady, Sp.PD.jpg
